employee_id,employee_code,first_name,last_name,gender,date_of_birth,blood_group,marital_status,role,designation,qualification,specialization,employment_type,department_id,reporting_manager_id,years_of_experience,salary,hire_date,shift_type,employment_status,email,phone_number,emergency_contact_name,emergency_contact,emergency_contact_relation,created_by,updated_by,created_date,updated_date
1,EMP000001,Sanaya,Kalla,Male,1998-12-09,B+,Divorced,Admin,Executive,BBA,HR,Contract,11,\N,1,33337,2025-04-08,General,Active,sanaya.kalla1@apollohospital.com,9001338908,Emergency Contact,9386379402,Brother,System,System,2023-01-01,2025-01-01
2,EMP000002,Dayamai,Raj,Female,1983-03-07,A-,Married,Nurse,Nursing Supervisor,GNM,OT,Full-time,6,\N,9,56942,2017-06-04,Evening,Active,dayamai.raj2@apollohospital.com,9940781618,Emergency Contact,9495931034,Father,System,System,2023-01-01,2025-01-01
3,EMP000003,Logan,Lata,Male,1982-07-09,AB-,Single,Doctor,Consultant,MS,Pulmonology,Contract,8,\N,4,93716,2022-08-21,Night,Active,logan.lata3@apollohospital.com,9419283276,Emergency Contact,9483503056,Spouse,System,System,2023-01-01,2025-01-01
4,EMP000004,Vyanjana,Kota,Female,2000-10-23,O-,Married,Technician,Lab Technician,MMLT,CT Scan,Contract,9,\N,2,34770,2024-06-07,Evening,Active,vyanjana.kota4@apollohospital.com,9238849696,Emergency Contact,9532871012,Mother,System,System,2023-01-01,2025-01-01
5,EMP000005,Nachiket,Mani,Female,1978-02-13,O-,Divorced,Admin,Manager,B.Com,HR,Contract,3,\N,20,62572,2006-07-20,General,Active,nachiket.mani5@apollohospital.com,9845146270,Emergency Contact,9482814893,Mother,System,System,2023-01-01,2025-01-01
6,EMP000006,Yoshita,Dugar,Male,1982-03-18,AB-,Married,Admin,Manager,BBA,HR,Full-time,8,\N,25,72111,2001-09-01,General,Active,yoshita.dugar6@apollohospital.com,9430391171,Emergency Contact,9822782489,Brother,System,System,2023-01-01,2025-01-01
7,EMP000007,Hardik,Mannan,Female,1990-12-23,AB+,Married,Pharmacist,Senior Pharmacist,M.Pharm,Inventory,Contract,7,\N,9,59859,2017-04-23,Evening,Active,hardik.mannan7@apollohospital.com,9871331509,Emergency Contact,9839301031,Father,System,System,2023-01-01,2025-01-01
8,EMP000008,Saksham,Sehgal,Male,1984-09-08,O-,Single,Admin,Executive,MBA,Procurement,Full-time,6,\N,3,33490,2023-05-22,General,Active,saksham.sehgal8@apollohospital.com,9631165667,Emergency Contact,9010651333,Sister,System,System,2023-01-01,2025-01-01
9,EMP000009,Mohammed,Natarajan,Male,1968-07-06,B-,Single,Doctor,Consultant,DM,Neurology,Contract,5,\N,5,97414,2021-05-15,Night,Active,mohammed.natarajan9@apollohospital.com,9801326773,Emergency Contact,9602606474,Brother,System,System,2023-01-01,2025-01-01
10,EMP000010,Daksha,Pingle,Male,1968-03-07,A+,Divorced,Pharmacist,Pharmacy Manager,M.Pharm,Inventory,Contract,10,\N,32,107899,1994-05-07,Evening,Active,daksha.pingle10@apollohospital.com,9009788208,Emergency Contact,9121913619,Mother,System,System,2023-01-01,2025-01-01
