patient_insurance_id,patient_id,insurance_provider_id,policy_number,policy_holder_name,relationship_with_holder,policy_start_date,policy_end_date,coverage_amount,remaining_coverage,insurance_status,cashless_eligible,pre_authorization_number,remarks,created_by,updated_by,created_date,updated_date
1,2309,39,POL55116683,Riya Joshi,Self,2020-01-01,2022-12-31,100000,58984.4,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
2,2309,1,POL94717622,Riya Joshi,Mother,2022-12-31,2025-12-30,100000,72179.15,Expired,True,PA100001,System Generated,System,System,2022-12-31,2022-12-31
3,22405,12,POL90122917,Yash Verma,Self,2020-01-01,2020-12-31,300000,271688.01,Expired,True,PA100002,Policy Renewed,System,System,2020-01-01,2020-01-01
4,22405,17,POL58454937,Yash Verma,Self,2020-12-31,2023-12-31,100000,90492.99,Expired,False,,Policy Renewed,System,System,2020-12-31,2020-12-31
5,23398,28,POL84239721,Harsh Shetty,Self,2020-01-01,2020-12-31,200000,105399.06,Expired,True,PA100004,Policy Renewed,System,System,2020-01-01,2020-01-01
6,25059,26,POL23847381,Swati Reddy,Self,2020-01-01,2021-12-31,500000,195075.79,Expired,True,PA100005,Policy Renewed,System,System,2020-01-01,2020-01-01
7,2665,1,POL33253143,Manish Joshi,Self,2020-01-01,2020-12-31,300000,121781.17,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
8,8512,47,POL45520806,Ananya Pandey,Father,2020-01-01,2020-12-31,500000,406376.63,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
9,5149,5,POL02738847,Khushi Singh,Self,2020-01-01,2020-12-31,200000,188708.86,Expired,True,PA100008,Verified,System,System,2020-01-01,2020-01-01
10,7791,16,POL87716619,Radhika Sharma,Self,2020-01-01,2021-12-31,500000,128892.27,Expired,True,PA100009,Verified,System,System,2020-01-01,2020-01-01
11,11312,37,POL45408212,Ritvik Das,Self,2020-01-01,2022-12-31,500000,106007.89,Expired,True,PA100010,Cashless Approved,System,System,2020-01-01,2020-01-01
12,19044,14,POL14091876,Simran Khan,Mother,2020-01-01,2021-12-31,300000,257504.41,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
13,10785,49,POL30964934,Aditya Singh,Spouse,2020-01-01,2020-12-31,1000000,509282.08,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
14,22247,16,POL07682618,Nikhil Patel,Self,2020-01-01,2021-12-31,500000,210579.7,Expired,True,PA100013,Waiting Approval,System,System,2020-01-01,2020-01-01
15,3269,43,POL16249181,Aditi Iyer,Self,2020-01-01,2020-12-31,500000,175349.54,Expired,True,PA100014,System Generated,System,System,2020-01-01,2020-01-01
16,15948,25,POL46894001,Abhishek Mishra,Self,2020-01-01,2020-12-31,500000,238592.24,Expired,True,PA100015,Waiting Approval,System,System,2020-01-01,2020-01-01
17,14978,28,POL76496286,Aanya Patel,Self,2020-01-01,2020-12-31,100000,97717.45,Expired,True,PA100016,Cashless Approved,System,System,2020-01-01,2020-01-01
18,14475,2,POL33458470,Komal Shetty,Self,2020-01-01,2020-12-31,200000,196332.76,Expired,True,PA100017,System Generated,System,System,2020-01-01,2020-01-01
19,28695,3,POL47297335,Karan Menon,Self,2020-01-01,2020-12-31,100000,46521.08,Expired,True,PA100018,Waiting Approval,System,System,2020-01-01,2020-01-01
20,28695,1,POL45066579,Karan Menon,Self,2020-12-31,2021-12-31,100000,97095.21,Expired,True,PA100019,Policy Renewed,System,System,2020-12-31,2020-12-31
21,14055,14,POL03884759,Muskan Shetty,Self,2020-01-01,2021-12-31,100000,43989.08,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
22,26546,16,POL23494108,Sai Iyer,Self,2020-01-01,2022-12-31,500000,441792.44,Expired,True,PA100021,Waiting Approval,System,System,2020-01-01,2020-01-01
23,14981,14,POL60677751,Vihaan Bose,Self,2020-01-01,2022-12-31,200000,73920.67,Expired,True,PA100022,Cashless Approved,System,System,2020-01-01,2020-01-01
24,17637,39,POL16431550,Akash Joshi,Self,2020-01-01,2020-12-31,1000000,861190.07,Expired,True,PA100023,System Generated,System,System,2020-01-01,2020-01-01
25,17637,33,POL23982455,Akash Joshi,Self,2020-12-31,2021-12-31,300000,144895.3,Expired,True,PA100024,System Generated,System,System,2020-12-31,2020-12-31
26,3932,8,POL86526210,Swati Iyer,Spouse,2020-01-01,2022-12-31,200000,71315.76,Expired,True,PA100025,System Generated,System,System,2020-01-01,2020-01-01
27,8388,24,POL90183527,Riya Reddy,Self,2020-01-01,2021-12-31,300000,284347.18,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
28,8388,33,POL19766501,Riya Reddy,Self,2021-12-31,2024-12-30,200000,74269.49,Expired,False,,Verified,System,System,2021-12-31,2021-12-31
29,8029,40,POL82026337,Nikhil Nair,Self,2020-01-01,2022-12-31,1000000,993468.18,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
30,9483,38,POL89303410,Krishna Jain,Self,2020-01-01,2022-12-31,500000,143429.56,Expired,True,PA100029,Waiting Approval,System,System,2020-01-01,2020-01-01
31,22573,29,POL21048990,Vihaan Yadav,Self,2020-01-01,2022-12-31,100000,20801.66,Expired,True,PA100030,Cashless Approved,System,System,2020-01-01,2020-01-01
32,15108,42,POL14280942,Aanya Das,Self,2020-01-01,2021-12-31,1000000,896634.84,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
33,15108,39,POL64168732,Aanya Das,Self,2021-12-31,2023-12-31,500000,334641.76,Expired,True,PA100032,System Generated,System,System,2021-12-31,2021-12-31
34,3674,50,POL05442105,Vihaan Sharma,Mother,2020-01-01,2022-12-31,100000,53730.1,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
35,3674,41,POL97526162,Vihaan Sharma,Mother,2022-12-31,2023-12-31,500000,132785.57,Expired,False,,Verified,System,System,2022-12-31,2022-12-31
36,21389,47,POL02385407,Rohan Verma,Spouse,2020-01-01,2021-12-31,500000,329957.01,Expired,True,PA100035,System Generated,System,System,2020-01-01,2020-01-01
37,5938,13,POL79971372,Krishna Pandey,Self,2020-01-01,2021-12-31,200000,102996.09,Expired,True,PA100036,Policy Renewed,System,System,2020-01-01,2020-01-01
38,5938,45,POL06502120,Krishna Pandey,Self,2021-12-31,2023-12-31,500000,293448.77,Expired,True,PA100037,Cashless Approved,System,System,2021-12-31,2021-12-31
39,27034,39,POL27568632,Vihaan Pandey,Self,2020-01-01,2020-12-31,100000,70431.35,Expired,True,PA100038,Waiting Approval,System,System,2020-01-01,2020-01-01
40,29272,10,POL93354729,Aanya Nair,Self,2020-01-01,2020-12-31,300000,213584.07,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
41,21881,11,POL57605733,Radhika Mishra,Self,2020-01-01,2021-12-31,100000,96847.94,Expired,True,PA100040,Waiting Approval,System,System,2020-01-01,2020-01-01
42,21881,39,POL68902874,Radhika Mishra,Self,2021-12-31,2024-12-30,1000000,724042.73,Expired,True,PA100041,Verified,System,System,2021-12-31,2021-12-31
43,6509,22,POL87753192,Siddharth Chavan,Self,2020-01-01,2020-12-31,500000,235761.66,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
44,21458,16,POL89195795,Harsh Mishra,Father,2020-01-01,2022-12-31,100000,46370.63,Expired,True,PA100043,Verified,System,System,2020-01-01,2020-01-01
45,20072,23,POL09105296,Ishita Nair,Self,2020-01-01,2021-12-31,200000,116345.75,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
46,27013,24,POL97180700,Riya Das,Self,2020-01-01,2022-12-31,100000,40746.22,Expired,True,PA100045,Cashless Approved,System,System,2020-01-01,2020-01-01
47,10093,20,POL92949651,Riya Verma,Self,2020-01-01,2022-12-31,500000,250575.59,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
48,22568,33,POL96010794,Radhika Kapoor,Self,2020-01-01,2022-12-31,100000,87369.02,Expired,True,PA100047,System Generated,System,System,2020-01-01,2020-01-01
49,22568,47,POL39124144,Radhika Kapoor,Self,2022-12-31,2025-12-30,500000,443904.64,Expired,True,PA100048,Waiting Approval,System,System,2022-12-31,2022-12-31
50,12977,31,POL56426860,Siddharth Shetty,Self,2020-01-01,2020-12-31,1000000,702233.98,Expired,True,PA100049,System Generated,System,System,2020-01-01,2020-01-01
51,3814,44,POL08638639,Varun Sharma,Mother,2020-01-01,2020-12-31,500000,333136.38,Expired,True,PA100050,Cashless Approved,System,System,2020-01-01,2020-01-01
52,3814,25,POL48541347,Varun Sharma,Spouse,2020-12-31,2021-12-31,200000,108335.97,Expired,True,PA100051,Verified,System,System,2020-12-31,2020-12-31
53,7338,3,POL66165483,Rohan Shetty,Mother,2020-01-01,2022-12-31,200000,141743.83,Expired,True,PA100052,Policy Renewed,System,System,2020-01-01,2020-01-01
54,24484,47,POL07306702,Karan Fernandes,Father,2020-01-01,2022-12-31,300000,253452.8,Expired,True,PA100053,Waiting Approval,System,System,2020-01-01,2020-01-01
55,19593,7,POL61203626,Siddharth Pandey,Self,2020-01-01,2022-12-31,300000,237083.29,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
56,5122,22,POL91416642,Meera Gupta,Mother,2020-01-01,2021-12-31,500000,114183.81,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
57,5122,31,POL62338358,Meera Gupta,Self,2021-12-31,2022-12-31,300000,235471.2,Expired,False,,Policy Renewed,System,System,2021-12-31,2021-12-31
58,14906,23,POL78477678,Rohan Pandey,Self,2020-01-01,2020-12-31,200000,155191.63,Expired,True,PA100057,Policy Renewed,System,System,2020-01-01,2020-01-01
59,8224,11,POL30575881,Khushi Pillai,Self,2020-01-01,2021-12-31,500000,139596.21,Expired,True,PA100058,Waiting Approval,System,System,2020-01-01,2020-01-01
60,2869,13,POL00530465,Shruti Nair,Self,2020-01-01,2021-12-31,100000,32019.79,Expired,True,PA100059,Cashless Approved,System,System,2020-01-01,2020-01-01
61,2343,47,POL14429304,Aanya Bose,Self,2020-01-01,2021-12-31,300000,249098.04,Expired,True,PA100060,Verified,System,System,2020-01-01,2020-01-01
62,8833,20,POL88883263,Ishita Shetty,Self,2020-01-01,2022-12-31,500000,323595.83,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
63,8833,48,POL34303094,Ishita Shetty,Spouse,2022-12-31,2023-12-31,100000,85730.32,Expired,False,,System Generated,System,System,2022-12-31,2022-12-31
64,7933,31,POL43247954,Ishita Iyer,Self,2020-01-01,2020-12-31,500000,173897.65,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
